"Playlist URL","https://www.youtube.com/playlist?list=PLeN3gXHbQPwoszwUstPh4b9L0jsy_rSsr"
"Playlist title","Musica :D"
"Playlist author","malperder"
"Videos","119"

"Video ID","Title","Channel","Added At","Published At","Thumbnail URL"
"HBxt_v0WF6Y","Rihanna - Where Have You Been","RihannaVEVO","2013-06-30","2012-04-30","https://i.ytimg.com/vi/HBxt_v0WF6Y/hqdefault.jpg"
"3YxaaGgTQYM","Evanescence - Bring Me To Life (Official HD Music Video)","EvanescenceVEVO","2013-06-30","2009-12-02","https://i.ytimg.com/vi/3YxaaGgTQYM/hqdefault.jpg"
"0jgrCKhxE1s","DragonForce - Through the Fire and Flames (Official Video)","DragonForce","2013-07-02","2006-12-26","https://i.ytimg.com/vi/0jgrCKhxE1s/hqdefault.jpg"
"sENM2wA_FTg","Imagine Dragons - It's Time (Official Music Video)","ImagineDragonsVEVO","2013-07-02","2012-04-18","https://i.ytimg.com/vi/sENM2wA_FTg/hqdefault.jpg"
"RR7BE4we-ro","WHITECOMIC! THIS AINT THE END OF ME","YouKnowItsWhiteComic","2013-07-03","2011-04-18","https://i.ytimg.com/vi/RR7BE4we-ro/hqdefault.jpg"
"5y_KJAg8bHI","Avicii - Wake Me Up (Official Lyric Video)","AviciiOfficialVEVO","2013-07-10","2013-06-28","https://i.ytimg.com/vi/5y_KJAg8bHI/hqdefault.jpg"
"H_Q12xRAdo8","ElevenOne - (Hard) Lovers (feat. Tonic Supersonic) [Original Mix]","EnjoyRecordsOfficial","2013-07-12","2013-06-14","https://i.ytimg.com/vi/H_Q12xRAdo8/hqdefault.jpg"
"mccDqCf14KI","Dj Fresh - Louder (Fliwo Remix)","Liquicity","2013-07-16","2013-07-12","https://i.ytimg.com/vi/mccDqCf14KI/hqdefault.jpg"
"knbkFOvfucQ","Feint - The Journey ft. Veela","Liquicity","2013-07-16","2011-11-30","https://i.ytimg.com/vi/knbkFOvfucQ/hqdefault.jpg"
"p7ZsBPK656s","Disfigure - Blank | Melodic Dubstep | NCS - Copyright Free Music","NoCopyrightSounds","2013-07-20","2013-05-01","https://i.ytimg.com/vi/p7ZsBPK656s/hqdefault.jpg"
"n4tK7LYFxI0","Spektrem - Shine | Progressive House | NCS - Copyright Free Music","NoCopyrightSounds","2013-07-21","2013-05-05","https://i.ytimg.com/vi/n4tK7LYFxI0/hqdefault.jpg"
"0ewGL1NpD84","SirensCeol - Coming Home | Dubstep | NCS - Copyright Free Music","NoCopyrightSounds","2013-07-30","2013-03-29","https://i.ytimg.com/vi/0ewGL1NpD84/hqdefault.jpg"
"zTFBJgnNgU4","Coldplay - Charlie Brown (Official Video)","Coldplay","2013-08-06","2012-02-03","https://i.ytimg.com/vi/zTFBJgnNgU4/hqdefault.jpg"
"WQc7B2PsSEo","Approaching Nirvana - Bangers & Smashed","ApproachingNirvana","2013-08-06","2011-08-13","https://i.ytimg.com/vi/WQc7B2PsSEo/hqdefault.jpg"
"q8kUckZ15fE","Hardwell feat. Amba Shepherd - Apollo (Official Music Video)","Hardwell","2013-08-07","2013-03-14","https://i.ytimg.com/vi/q8kUckZ15fE/hqdefault.jpg"
"ppy-fgbPn2s","Hardwell ft. Mitch Crown - Call Me A Spaceman (OFFICIAL MUSIC VIDEO)","Hardwell","2013-08-07","2012-05-18","https://i.ytimg.com/vi/ppy-fgbPn2s/hqdefault.jpg"
"Y1xWgYr8vjs","DEVolution - Good Love (Alesso Remix)","Alesso","2013-08-13","2011-09-13","https://i.ytimg.com/vi/Y1xWgYr8vjs/hqdefault.jpg"
"dLa_ryRjC7M","OneRepublic - Alesso Vs. OneRepublic - If I Lose Myself ft. Alesso (Remix)","OneRepublicVEVO","2013-08-13","2013-05-07","https://i.ytimg.com/vi/dLa_ryRjC7M/hqdefault.jpg"
"K-PdbfkA7LM","Castle in the Sky - DJ Satomi","thecheatschklet","2013-08-21","2007-12-02","https://i.ytimg.com/vi/K-PdbfkA7LM/hqdefault.jpg"
"h7ArUgxtlJs","deadmau5 feat. Rob Swire - Ghosts N Stuff","deadmau5","2013-08-21","2009-08-19","https://i.ytimg.com/vi/h7ArUgxtlJs/hqdefault.jpg"
"OQ4RUDpKvM4","Best Hardstyle 2010 part 1","age705","2013-08-26","2010-05-01","https://i.ytimg.com/vi/OQ4RUDpKvM4/hqdefault.jpg"
"BIjO0U7G15c","Zombie - Remix","Amy Deegan","2013-08-31","2008-08-28","https://i.ytimg.com/vi/BIjO0U7G15c/hqdefault.jpg"
"FacLxSG9ymk","Modulation - Groovy Movie","Tasty","2013-09-20","2012-03-19","https://i.ytimg.com/vi/FacLxSG9ymk/hqdefault.jpg"
"YgFyi74DVjc","Tinie Tempah - Written In The Stars ft. Eric Turner","Tinie","2013-09-20","2010-08-13","https://i.ytimg.com/vi/YgFyi74DVjc/hqdefault.jpg"
"RsKQOm_iJug","A LIGHT THAT NEVER COMES (Official Lyric Video) - LINKIN PARK x STEVE AOKI","Linkin Park","2013-09-20","2013-09-16","https://i.ytimg.com/vi/RsKQOm_iJug/hqdefault.jpg"
"A_olVElDSWI","Henry Mendez ""El Tiburón (The Shark)"" (Official Video)","Roster Music","2013-09-25","2013-05-09","https://i.ytimg.com/vi/A_olVElDSWI/hqdefault.jpg"
"pwkuKOXeeKs","Henry Mendez ""Mi Reina"" (Official Video)","Roster Music","2013-09-25","2013-01-14","https://i.ytimg.com/vi/pwkuKOXeeKs/hqdefault.jpg"
"AtKZKl7Bgu0","Calvin Harris - I Need Your Love (Official Video) ft. Ellie Goulding","CalvinHarrisVEVO","2013-09-26","2013-04-14","https://i.ytimg.com/vi/AtKZKl7Bgu0/hqdefault.jpg"
"ykI7glq9LRE","Rameses B - Visionary","Liquicity","2013-09-29","2012-03-13","https://i.ytimg.com/vi/ykI7glq9LRE/hqdefault.jpg"
"CGyEd0aKWZE","Ellie Goulding - Burn (Official Video)","EllieGouldingVEVO","2013-10-07","2013-07-07","https://i.ytimg.com/vi/CGyEd0aKWZE/hqdefault.jpg"
"j4-Gt6dUVj0","John Newman - Love Me Again","JohnNewmanVEVO","2013-10-07","2013-06-28","https://i.ytimg.com/vi/j4-Gt6dUVj0/hqdefault.jpg"
"bpOR_HuHRNs","Flo Rida - Wild Ones ft. Sia [Official Video]","Flo Rida","2013-10-07","2012-02-09","https://i.ytimg.com/vi/bpOR_HuHRNs/hqdefault.jpg"
"mk48xRzuNvA","The Script - Hall of Fame (Official Video) ft. will.i.am","TheScriptVEVO","2013-10-07","2012-08-22","https://i.ytimg.com/vi/mk48xRzuNvA/hqdefault.jpg"
"sJjYbKDvTs0","Avicii - Hey Brother","FNSN Media","2013-10-20","2013-08-23","https://i.ytimg.com/vi/sJjYbKDvTs0/hqdefault.jpg"
"COEj1iUdtr0","Remady & Manu-L - Holidays (Official Video HD)","Kontor.TV","2013-10-21","2013-07-03","https://i.ytimg.com/vi/COEj1iUdtr0/hqdefault.jpg"
"IP8OVYyuC60","Tiësto - Take Me ft. Kyler England (Lyric Video)","TiestoVEVO","2013-10-21","2013-08-18","https://i.ytimg.com/vi/IP8OVYyuC60/hqdefault.jpg"
"w-hrGT8BHag","Sasha Lopez Feat. Tony T & Big Ali - Beautiful Life (Official Video)","Blanco y Negro Music","2013-10-21","2013-06-20","https://i.ytimg.com/vi/w-hrGT8BHag/hqdefault.jpg"
"0EWbonj7f18","DVBBS & Borgeous - TSUNAMI (Original Mix)","Spinnin' Records","2013-10-21","2013-08-19","https://i.ytimg.com/vi/0EWbonj7f18/hqdefault.jpg"
"ojzvGvcc33s","Mike Candys feat. Evelyn & Tony T - Everybody (Official Video HD)","Kontor.TV","2013-10-21","2013-06-27","https://i.ytimg.com/vi/ojzvGvcc33s/hqdefault.jpg"
"8sPj0Ic8KQ8","R.I.O. feat. Nicco - Party Shaker (Official Video HD)","Kontor.TV","2013-10-21","2012-05-15","https://i.ytimg.com/vi/8sPj0Ic8KQ8/hqdefault.jpg"
"hWjrMTWXH28","David Guetta & Chris Willis Feat. Fergie & LMFAO - Gettin' Over You (Official Video)","David Guetta","2013-10-21","2010-05-19","https://i.ytimg.com/vi/hWjrMTWXH28/hqdefault.jpg"
"gSi-AT-Hq7s","ItaloBrothers Feat. Carlprit - Boom (Official Video HD).mp4","UniqueBlackable","2013-10-29","2012-03-11","https://i.ytimg.com/vi/gSi-AT-Hq7s/hqdefault.jpg"
"lefoijBGCgI","Meizong & Oskar Hill - Sunset [Creative Commons]","Argofox","2013-11-02","2013-07-12","https://i.ytimg.com/vi/lefoijBGCgI/hqdefault.jpg"
"h9I-9Sj4sKs","Brennan Heart & Jonathan Mendelsohn - Imaginary","I AM HARDSTYLE","2013-11-04","2013-08-09","https://i.ytimg.com/vi/h9I-9Sj4sKs/hqdefault.jpg"
"hyVFoYoW9oE","Toneshifterz ft. Chris Madin - Last Night (Official Video)","Toneshifterz","2013-11-04","2012-10-31","https://i.ytimg.com/vi/hyVFoYoW9oE/hqdefault.jpg"
"Q0r0pu8A6Z0","Brennan Heart & Wildstylez - Lose My Mind (Official videoclip)","I AM HARDSTYLE","2013-11-05","2011-09-13","https://i.ytimg.com/vi/Q0r0pu8A6Z0/hqdefault.jpg"
"bfw5f4cnRcc","Archie - Kingdom (Club Mix) [Free]","Proximity","2013-11-08","2013-02-19","https://i.ytimg.com/vi/bfw5f4cnRcc/hqdefault.jpg"
"k1Tt06QzAE4","The First - Sit Tight [OFFICIAL VIDEO EXCLUSIVE]","ourzonemag","2013-11-12","2010-10-07","https://i.ytimg.com/vi/k1Tt06QzAE4/hqdefault.jpg"
"oVg5GFINVpk","Young Guns - Weight of the World (Official Video in HD)","Young Guns","2013-11-12","2010-09-20","https://i.ytimg.com/vi/oVg5GFINVpk/hqdefault.jpg"
"qk3vjIDuy9w","Young Guns - Bones (Official Video in HD)","Young Guns","2013-11-13","2012-01-12","https://i.ytimg.com/vi/qk3vjIDuy9w/hqdefault.jpg"
"N6Eav92bOp8","The Right Side - Studio version - (Con Javier Losada de ''The Eleventh Failure'')","LibertyMario","2013-11-13","2012-10-04","https://i.ytimg.com/vi/N6Eav92bOp8/hqdefault.jpg"
"XYgSHOWNE0M","Bingo Players - Rattle (Original Mix)","Spinnin' Records","2013-11-15","2011-10-18","https://i.ytimg.com/vi/XYgSHOWNE0M/hqdefault.jpg"
"TiRa_DwalQc","Snow Patrol - Chasing Cars - lyrics","leesajade","2013-11-17","2008-05-01","https://i.ytimg.com/vi/TiRa_DwalQc/hqdefault.jpg"
"FGAyjfwK-wI","DJ Antoine ft. The Beat Shakers - Ma Chérie (DJ Antoine vs Mad Mark 2k12 Edit) (Official Video HD)","Kontor.TV","2013-11-17","2011-10-28","https://i.ytimg.com/vi/FGAyjfwK-wI/hqdefault.jpg"
"6Q3F9Tn1pA8","Project 46 - Slide [Monstercat Release]","Monstercat Uncaged","2013-11-18","2011-11-02","https://i.ytimg.com/vi/6Q3F9Tn1pA8/hqdefault.jpg"
"DYzxMAyrEEM","[Progressive House] - Project 46 - Reasons (feat. Andrew Allen) [Monstercat Release]","Monstercat Uncaged","2013-11-18","2012-04-23","https://i.ytimg.com/vi/DYzxMAyrEEM/hqdefault.jpg"
"oIr5Eamemv8","[Dubstep] - Tristam - Follow Me [Monstercat VIP Release]","Monstercat Uncaged","2013-11-18","2012-01-02","https://i.ytimg.com/vi/oIr5Eamemv8/hqdefault.jpg"
"MxoVrEumLPw","Brennan Heart - We Can Escape (Intents Anthem 2012)","I AM HARDSTYLE","2013-11-20","2012-05-14","https://i.ytimg.com/vi/MxoVrEumLPw/hqdefault.jpg"
"g1l21p3fnwY","Sander van Doorn - Neon (Official Music Video)","Spinnin' Records","2013-11-21","2013-07-05","https://i.ytimg.com/vi/g1l21p3fnwY/hqdefault.jpg"
