Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3CK1LmtvnE4RsDG3hNLXDY,24yN33FZM27S4x4EJCFsjR,De Revista,Brillar o Morir,Flashy Ice Cream,2019-11-01,133666,0,orioldera10,2023-03-12T11:51:21Z
2vdgRXi7MKivSrreFwfF5x,4u6NigaxBfdKYhDdifXSCR,Klk quieren las chicas,Klk quieren las chicas,Sexenni,2023-02-24,153751,14,orioldera10,2023-03-12T11:57:14Z
69n1A1pfZW6LgztcLmry5D,"3HDuiwI8hjGt0iPK77EmD7,6I63R76ouyFvUIwPggQxxT",Rumbaton,Rumbaton,"Martigo,The Tyets",2020-10-30,185802,6,orioldera10,2023-03-12T11:53:52Z
2qyuaBg4EszaWWvAdzwQmO,"4lcKL2Iqv1h7KzEt0lUISA,6I63R76ouyFvUIwPggQxxT,3I3DSocG5r4o5kBGOlzNAi",Tot el Que Vull,Tot el Que Vull,"Doble,The Tyets,Hugsound",2022-06-01,191000,30,orioldera10,2023-03-12T11:58:53Z
7vzAHmmSrG5NdwrItFn3IS,"3HDuiwI8hjGt0iPK77EmD7,3RUrQAxE38Y83AvE0sL7H8","NO ÉS AMOR, ÉS VICI",Sueños En Ali Bei,"Martigo,sankki",2023-01-25,207920,7,orioldera10,2023-03-12T11:54:16Z
0TvbW6a2deoJ9jNdbVCQqQ,3hi1Ewhqpzl1jO2GemGmv6,L'Eva i la Jana,Suposo que l'amor és això,Ginestà,2022-02-04,264719,39,orioldera10,2023-03-12T11:52:41Z
5yGHvwb5yfEWSzQIMFvEMT,7DzqOghrDEW0vlJxZXaeLj,T'enxules,T'enxules,Julieta,2023-05-17,164210,20,orioldera10,2023-08-13T11:58:38Z
0WkgubhQqDmVDat3seOuQB,"6I63R76ouyFvUIwPggQxxT,2enhM5DK9oTxWiCVpFIDv3",Èpic Solete,Èpic Solete,"The Tyets,Figa Flawas",2023-03-03,163168,45,orioldera10,2023-03-12T16:58:33Z
60NiTRZhf2nhmgghPRbNET,"24yN33FZM27S4x4EJCFsjR,0LweECx5LKm6I3gIcWMdpB,3jU5LKRsimuyZjA0lSkdPp",Bona Vida,Aftersun,"Flashy Ice Cream,31 FAM,Mushkaa",2022-07-15,208524,46,orioldera10,2023-05-08T10:16:56Z
6IkzkfMzOWy8Bm7RnvAM9H,7DzqOghrDEW0vlJxZXaeLj,Tu Juru Ju,Tu Juru Ju,Julieta,2021-07-02,194169,34,orioldera10,2023-05-08T10:16:58Z
3Tkw9VQ0a5eV7swbiJTx80,6I63R76ouyFvUIwPggQxxT,Desembre,Èpic Solete,The Tyets,2023-03-03,174469,49,orioldera10,2023-05-08T10:20:42Z
3zV06MQgCcap2H4fqPUuyo,0M6k9ahckv10ACmoT6IIbS,15 Dies,15 Dies,Al·lèrgiques al pol·len,2022-06-15,231360,0,orioldera10,2023-05-08T10:17:07Z
61Tbau1F9Q51vdoeJKHyW0,7DzqOghrDEW0vlJxZXaeLj,Trenca'm el cor,Ni llum ni lluna,Julieta,2022-09-16,159402,35,orioldera10,2023-05-08T10:17:16Z
4xYdCjHgaAObMfvKqXQf1c,3jU5LKRsimuyZjA0lSkdPp,LOS 15 (PQ STAS TRISTE),LOS 15 (PQ STAS TRISTE),Mushkaa,2022-12-29,166000,37,orioldera10,2023-05-08T10:17:20Z
51YXhOh8taqRam8XVga4uc,7DzqOghrDEW0vlJxZXaeLj,Cari,Cari,Julieta,2023-03-29,130393,27,orioldera10,2023-05-08T10:17:22Z
1C0Hsm8BYhkroSD0w5mxdv,6I63R76ouyFvUIwPggQxxT,Let Me Alive,Èpic Solete,The Tyets,2023-03-03,170433,38,orioldera10,2023-05-08T10:17:46Z
6GY0SFDIyWFyOaXJQRovKf,3jU5LKRsimuyZjA0lSkdPp,Res Kla,Res Kla,Mushkaa,2021-07-23,186956,33,orioldera10,2023-05-08T10:17:59Z
4qFwyhTqOvuf26fBBTaHcv,"3jU5LKRsimuyZjA0lSkdPp,3ffpiODsUFT0nYlOborFVI,25rfSQptHe18iy1f4TYR7A",Barras Warras,Tas Loko Mixtape,"Mushkaa,Calagher,roots",2023-04-14,169000,42,orioldera10,2023-05-08T10:18:07Z
40Lus6yy0pMCQG6DFBsyWb,2Y4AiImxLUoWEgxedb3Gtz,PRINCIPIS,PRINCIPIS,La Fúmiga,2023-04-28,155541,27,orioldera10,2023-05-08T10:18:12Z
5fjLGqrka4TRFw9Mm50C6x,3XROpF1yIcXOcMjDkswghI,LA DAMA DE MALLORCA,LA DAMA DE MALLORCA,MARIA HEIN,2023-04-19,163293,37,orioldera10,2023-05-08T10:18:40Z
4MGDNtgTkNr8U6KPNTvwxR,3jU5LKRsimuyZjA0lSkdPp,NO XDONA,NO XDONA,Mushkaa,2022-04-07,122968,29,orioldera10,2023-05-08T10:19:54Z
1pNNfZlSlIPTQOfoPhgdAf,"2Y4AiImxLUoWEgxedb3Gtz,6I63R76ouyFvUIwPggQxxT",Cap. 2: Havia de Passar,Pròxima Parada,"La Fúmiga,The Tyets",2020-11-10,211435,57,orioldera10,2023-05-08T10:20:40Z
5GjKmTQY3ANW1QzvMU0W1l,"3jU5LKRsimuyZjA0lSkdPp,6NmkG2p4k7Tp1sPLe5KUTf",El Mambo,El Mambo,"Mushkaa,Roots",2023-06-30,128000,42,orioldera10,2023-08-13T11:58:27Z
